,missing_count,missing_percent
county,20000,100.0
size,14268,71.34
cylinders,8231,41.155
condition,7669,38.345
VIN,7473,37.364999999999995
drive,6239,31.195
paint_color,5942,29.709999999999997
type,3954,19.77
manufacturer,877,4.385
title_status,424,2.12
odometer,274,1.37
model,269,1.345
long,182,0.91
lat,182,0.91
fuel,139,0.695
transmission,119,0.5950000000000001
year,69,0.345
description,8,0.04
posting_date,8,0.04
image_url,8,0.04
region_url,0,0.0
url,0,0.0
id,0,0.0
region,0,0.0
price,0,0.0
state,0,0.0
